Station Name,day,Avg Solar Radiation,Min Solar Radiation,Max Solar Radiation
63rd Street Weather Station,06/07/2017,333.0833333333333,1,921
Foster Weather Station,05/29/2021,331.3333333333333,1,910
Oak Street Weather Station,07/30/2017,330.85714285714283,-4,848
63rd Street Weather Station,07/08/2018,330.6818181818182,0,842
Foster Weather Station,06/16/2021,329.25,2,897
63rd Street Weather Station,06/01/2017,329.2083333333333,1,915
Oak Street Weather Station,07/12/2018,324.77777777777777,-4,774
63rd Street Weather Station,05/29/2021,324.75,2,887
Oak Street Weather Station,06/17/2016,324.05882352941177,-2,889
63rd Street Weather Station,06/26/2016,323.0,0,1123
Oak Street Weather Station,05/22/2016,322.95238095238096,0,879
63rd Street Weather Station,06/02/2017,322.875,1,900
63rd Street Weather Station,06/17/2016,322.0416666666667,1,889
Oak Street Weather Station,06/23/2015,321.1818181818182,-2,914
63rd Street Weather Station,06/27/2016,321.0833333333333,0,881
63rd Street Weather Station,06/19/2016,320.82608695652175,0,1015
63rd Street Weather Station,07/06/2018,320.6521739130435,0,849
63rd Street Weather Station,06/23/2015,320.5833333333333,0,881
63rd Street Weather Station,07/11/2016,320.04347826086956,0,946
Foster Weather Station,06/15/2021,320.0416666666667,2,869
63rd Street Weather Station,06/06/2017,319.77272727272725,1,886
Oak Street Weather Station,05/14/2017,318.85,0,862
63rd Street Weather Station,06/24/2017,318.5833333333333,0,978
Foster Weather Station,06/02/2015,318.2083333333333,0,878
Foster Weather Station,06/23/2015,318.2083333333333,0,865
63rd Street Weather Station,07/09/2016,317.7916666666667,0,886
Foster Weather Station,07/01/2015,317.3809523809524,0,931
63rd Street Weather Station,06/16/2021,317.2083333333333,1,862
Oak Street Weather Station,06/11/2016,317.06666666666666,-5,902
63rd Street Weather Station,06/15/2020,316.8333333333333,1,866
Oak Street Weather Station,06/24/2018,316.0,-4,835
63rd Street Weather Station,06/09/2017,315.3333333333333,0,955
63rd Street Weather Station,06/24/2016,315.3333333333333,0,880
63rd Street Weather Station,04/23/2017,315.2173913043478,2,903
63rd Street Weather Station,06/08/2016,314.75,2,900
63rd Street Weather Station,06/15/2016,314.17391304347825,0,935
63rd Street Weather Station,07/16/2016,314.0416666666667,1,876
63rd Street Weather Station,06/14/2020,313.8333333333333,2,864
63rd Street Weather Station,05/06/2017,313.6666666666667,3,991
Foster Weather Station,06/16/2015,313.6666666666667,0,897
63rd Street Weather Station,07/17/2017,312.7083333333333,1,939
63rd Street Weather Station,07/08/2017,312.4583333333333,0,874
63rd Street Weather Station,05/31/2020,312.4166666666667,2,836
63rd Street Weather Station,07/02/2017,311.5217391304348,0,890
63rd Street Weather Station,06/24/2018,311.40909090909093,0,834
Oak Street Weather Station,05/02/2016,310.6666666666667,1,880
63rd Street Weather Station,05/14/2017,310.6521739130435,2,881
63rd Street Weather Station,08/08/2021,310.64285714285717,0,738
Oak Street Weather Station,05/07/2017,310.59090909090907,0,882
Oak Street Weather Station,06/03/2015,310.35,1,908
Oak Street Weather Station,07/20/2015,310.3125,-2,1009
Foster Weather Station,06/14/2021,309.7083333333333,2,872
63rd Street Weather Station,05/23/2016,309.5,1,877
63rd Street Weather Station,07/02/2015,308.9,2,930
63rd Street Weather Station,04/29/2018,308.8181818181818,4,822
63rd Street Weather Station,06/25/2020,308.3333333333333,0,893
63rd Street Weather Station,05/12/2017,308.2083333333333,3,886
63rd Street Weather Station,06/01/2021,308.0,2,880
63rd Street Weather Station,05/27/2017,307.625,2,878
Oak Street Weather Station,06/16/2015,307.54545454545456,0,974
63rd Street Weather Station,06/03/2018,307.4736842105263,1,876
Foster Weather Station,06/27/2015,307.4583333333333,0,898
63rd Street Weather Station,03/30/2018,307.3125,3,825
63rd Street Weather Station,05/29/2017,307.0,0,918
Oak Street Weather Station,07/05/2015,306.44444444444446,0,826
Foster Weather Station,06/01/2021,305.8333333333333,2,864
63rd Street Weather Station,05/22/2016,305.5217391304348,2,848
63rd Street Weather Station,07/07/2018,305.4583333333333,1,845
63rd Street Weather Station,07/21/2015,305.375,0,862
63rd Street Weather Station,06/10/2016,305.3333333333333,0,893
63rd Street Weather Station,07/09/2017,305.17391304347825,0,978
Foster Weather Station,06/06/2015,304.3478260869565,0,856
Foster Weather Station,06/13/2021,304.17391304347825,2,866
63rd Street Weather Station,05/16/2017,304.1304347826087,0,963
63rd Street Weather Station,05/06/2020,303.875,3,867
Oak Street Weather Station,06/06/2015,303.8695652173913,2,904
63rd Street Weather Station,05/08/2017,303.75,3,1047
Oak Street Weather Station,05/05/2016,303.1363636363636,1,869
Foster Weather Station,06/03/2015,303.125,0,863
Foster Weather Station,06/03/2021,303.0833333333333,1,849
63rd Street Weather Station,06/10/2017,302.9166666666667,0,894
Foster Weather Station,07/01/2021,302.4166666666667,2,857
63rd Street Weather Station,06/08/2017,302.2916666666667,0,895
63rd Street Weather Station,06/27/2015,302.125,2,915
Oak Street Weather Station,05/12/2020,302.125,1,1022
63rd Street Weather Station,05/31/2017,301.9583333333333,0,1065
63rd Street Weather Station,06/06/2020,301.875,1,823
Oak Street Weather Station,05/30/2016,301.82608695652175,-3,897
Oak Street Weather Station,06/14/2019,301.7083333333333,-4,1019
63rd Street Weather Station,05/12/2020,301.5416666666667,3,1079
Foster Weather Station,06/10/2021,301.5416666666667,2,814
63rd Street Weather Station,07/01/2015,301.5238095238095,3,903
63rd Street Weather Station,07/18/2017,300.9166666666667,0,863
Foster Weather Station,06/11/2021,300.875,2,845
Oak Street Weather Station,05/29/2016,300.69565217391306,-3,1071
Oak Street Weather Station,04/29/2018,300.59090909090907,0,864
63rd Street Weather Station,05/05/2016,300.5416666666667,3,868
63rd Street Weather Station,06/18/2016,300.5,1,873
Oak Street Weather Station,06/16/2021,300.39130434782606,-2,865
Oak Street Weather Station,07/02/2017,300.3181818181818,-4,857
63rd Street Weather Station,06/14/2021,299.9583333333333,0,841
63rd Street Weather Station,05/27/2018,299.90909090909093,0,782
Oak Street Weather Station,06/02/2019,299.625,0,932
63rd Street Weather Station,08/12/2018,299.6,0,755
63rd Street Weather Station,06/02/2019,299.5416666666667,2,845
63rd Street Weather Station,07/17/2015,299.4583333333333,0,916
63rd Street Weather Station,06/09/2021,299.1304347826087,0,778
Foster Weather Station,07/21/2015,299.0833333333333,0,847
63rd Street Weather Station,07/29/2017,299.0,0,854
Oak Street Weather Station,07/03/2016,299.0,-2,707
63rd Street Weather Station,07/02/2016,298.8235294117647,1,914
63rd Street Weather Station,06/17/2021,298.7916666666667,0,879
Oak Street Weather Station,07/03/2018,298.6818181818182,-5,824
63rd Street Weather Station,06/16/2020,298.6666666666667,1,814
63rd Street Weather Station,06/05/2018,298.5833333333333,0,962
63rd Street Weather Station,06/06/2016,298.5416666666667,0,1003
63rd Street Weather Station,06/10/2019,298.5,1,846
63rd Street Weather Station,06/19/2021,298.4347826086956,0,841
63rd Street Weather Station,07/16/2018,297.89473684210526,0,900
Oak Street Weather Station,06/06/2016,297.82608695652175,-2,974
63rd Street Weather Station,06/03/2021,297.4583333333333,0,819
Foster Weather Station,05/30/2021,297.1304347826087,1,898
63rd Street Weather Station,07/01/2021,297.0833333333333,0,833
63rd Street Weather Station,08/03/2015,296.9583333333333,0,840
Oak Street Weather Station,06/08/2017,296.7391304347826,-4,864
Oak Street Weather Station,06/28/2018,296.69565217391306,-4,831
63rd Street Weather Station,07/02/2018,295.9166666666667,0,814
63rd Street Weather Station,07/02/2020,295.6666666666667,0,822
Oak Street Weather Station,06/27/2017,295.5,-3,998
63rd Street Weather Station,07/19/2017,295.4782608695652,0,818
63rd Street Weather Station,05/29/2016,295.17391304347825,0,972
63rd Street Weather Station,07/14/2016,295.0833333333333,0,1019
63rd Street Weather Station,07/17/2018,295.0,0,838
63rd Street Weather Station,06/17/2020,294.875,1,818
Oak Street Weather Station,05/08/2016,294.8,0,870
63rd Street Weather Station,05/09/2020,294.7916666666667,2,875
Oak Street Weather Station,06/29/2016,294.77777777777777,-2,905
63rd Street Weather Station,05/08/2020,294.625,3,930
Foster Weather Station,06/09/2021,294.3333333333333,2,833
Foster Weather Station,07/05/2021,294.25,2,822
Oak Street Weather Station,05/16/2018,294.1,-3,873
Foster Weather Station,06/05/2021,294.0416666666667,2,903
Oak Street Weather Station,07/17/2015,293.9583333333333,-2,930
63rd Street Weather Station,07/11/2019,293.75,0,907
Oak Street Weather Station,07/15/2017,293.60869565217394,-4,850
Oak Street Weather Station,06/27/2015,293.5416666666667,1,935
63rd Street Weather Station,05/23/2019,293.4583333333333,0,824
Foster Weather Station,06/02/2021,293.4166666666667,2,832
63rd Street Weather Station,05/30/2021,292.7391304347826,2,852
63rd Street Weather Station,06/11/2017,292.5,0,880
Oak Street Weather Station,05/31/2020,292.125,0,890
63rd Street Weather Station,07/26/2016,291.9583333333333,0,833
63rd Street Weather Station,07/15/2018,291.95454545454544,0,896
63rd Street Weather Station,06/11/2021,291.9166666666667,0,801
Oak Street Weather Station,06/05/2021,291.8695652173913,-5,890
Oak Street Weather Station,06/24/2016,291.85,-3,856
Oak Street Weather Station,07/14/2016,291.8181818181818,-4,931
63rd Street Weather Station,07/12/2019,291.7083333333333,0,813
63rd Street Weather Station,06/28/2018,291.6521739130435,0,808
63rd Street Weather Station,06/05/2021,291.1666666666667,0,910
63rd Street Weather Station,06/08/2020,291.0416666666667,0,822
63rd Street Weather Station,06/10/2021,291.0416666666667,0,807
63rd Street Weather Station,06/13/2021,290.82608695652175,0,837
63rd Street Weather Station,06/04/2021,290.625,0,843
63rd Street Weather Station,05/30/2020,290.5833333333333,2,877
Oak Street Weather Station,07/13/2020,290.57142857142856,-4,856
63rd Street Weather Station,07/12/2016,290.5,0,855
63rd Street Weather Station,07/08/2016,290.39130434782606,0,987
Oak Street Weather Station,06/14/2020,290.3333333333333,0,893
63rd Street Weather Station,05/30/2019,290.25,1,835
Foster Weather Station,06/17/2021,290.04347826086956,2,887
63rd Street Weather Station,04/24/2017,289.875,2,838
63rd Street Weather Station,06/29/2018,289.625,0,793
63rd Street Weather Station,05/06/2016,289.5,0,967
63rd Street Weather Station,06/13/2016,289.4583333333333,1,985
63rd Street Weather Station,07/08/2019,289.4583333333333,1,798
Oak Street Weather Station,06/15/2020,289.4166666666667,-2,893
63rd Street Weather Station,05/30/2016,289.25,0,859
Oak Street Weather Station,06/14/2021,289.125,-4,874
63rd Street Weather Station,06/14/2019,288.9583333333333,0,865
63rd Street Weather Station,06/18/2017,288.95652173913044,0,1028
Oak Street Weather Station,07/05/2020,288.8181818181818,-5,814
Oak Street Weather Station,06/11/2017,288.6363636363636,-5,951
63rd Street Weather Station,05/02/2016,288.5833333333333,4,945
Oak Street Weather Station,05/09/2020,288.375,0,894
63rd Street Weather Station,07/26/2021,288.30434782608694,0,802
63rd Street Weather Station,07/05/2021,288.1304347826087,0,777
63rd Street Weather Station,06/21/2016,287.8181818181818,0,886
Oak Street Weather Station,07/28/2017,287.7916666666667,-4,991
63rd Street Weather Station,07/23/2020,287.75,0,793
63rd Street Weather Station,05/15/2019,287.4166666666667,1,877
63rd Street Weather Station,07/18/2018,287.0,0,806
Oak Street Weather Station,06/08/2020,286.875,-4,863
Oak Street Weather Station,06/25/2019,286.8333333333333,-5,959
63rd Street Weather Station,06/25/2016,286.5217391304348,0,880
63rd Street Weather Station,06/02/2020,286.4166666666667,0,798
63rd Street Weather Station,06/15/2021,286.375,0,821
63rd Street Weather Station,08/06/2016,286.25,0,821
Foster Weather Station,08/03/2015,286.2083333333333,0,826
Foster Weather Station,05/26/2021,286.125,0,888
Oak Street Weather Station,06/02/2017,285.9583333333333,-4,861
63rd Street Weather Station,06/21/2017,285.9583333333333,1,958
Oak Street Weather Station,06/11/2019,285.8333333333333,-3,977
63rd Street Weather Station,07/24/2020,285.5416666666667,0,836
63rd Street Weather Station,06/02/2021,285.4583333333333,1,890
Foster Weather Station,07/06/2021,285.25,1,863
63rd Street Weather Station,07/05/2020,285.2083333333333,0,801
63rd Street Weather Station,05/18/2017,285.0,0,882
63rd Street Weather Station,07/31/2019,284.9583333333333,1,809
Oak Street Weather Station,06/25/2016,284.8095238095238,-5,858
63rd Street Weather Station,06/27/2017,284.7916666666667,0,1036
Foster Weather Station,07/09/2021,284.7916666666667,2,878
Foster Weather Station,07/23/2015,284.5416666666667,0,812
Oak Street Weather Station,04/12/2016,284.5217391304348,2,840
Oak Street Weather Station,05/08/2017,284.5,0,901
63rd Street Weather Station,07/31/2015,284.45454545454544,0,937
63rd Street Weather Station,05/23/2018,284.0416666666667,2,812
Oak Street Weather Station,07/17/2020,283.9583333333333,-5,887
63rd Street Weather Station,04/20/2019,283.9583333333333,3,833
63rd Street Weather Station,05/14/2019,283.7916666666667,2,830
63rd Street Weather Station,08/12/2017,283.7083333333333,0,839
Oak Street Weather Station,07/01/2020,283.60869565217394,-4,860
63rd Street Weather Station,08/19/2017,283.59090909090907,0,820
Foster Weather Station,07/04/2021,283.5833333333333,1,804
Oak Street Weather Station,07/08/2017,283.5416666666667,-3,880
63rd Street Weather Station,07/15/2017,283.30434782608694,0,855
63rd Street Weather Station,05/13/2019,283.2916666666667,3,832
Foster Weather Station,07/02/2021,283.2608695652174,2,817
Foster Weather Station,09/23/2020,283.07142857142856,0,656
Foster Weather Station,06/08/2021,282.7083333333333,2,841
63rd Street Weather Station,06/18/2020,282.625,0,803
Foster Weather Station,06/04/2021,282.5416666666667,2,882
63rd Street Weather Station,07/13/2018,282.5416666666667,0,798
Foster Weather Station,07/26/2021,282.5416666666667,2,817
63rd Street Weather Station,07/25/2017,282.4166666666667,0,861
Foster Weather Station,08/01/2015,282.30434782608694,0,861
63rd Street Weather Station,07/15/2019,282.25,0,789
63rd Street Weather Station,07/03/2018,282.2083333333333,0,780
Oak Street Weather Station,06/15/2021,281.9166666666667,-3,859
Foster Weather Station,07/03/2021,281.875,2,795
63rd Street Weather Station,05/24/2020,281.875,0,847
Oak Street Weather Station,03/25/2016,281.29411764705884,2,779
63rd Street Weather Station,08/07/2016,281.2857142857143,0,927
Oak Street Weather Station,07/29/2017,281.25,-4,872
63rd Street Weather Station,07/24/2019,281.0,1,806
63rd Street Weather Station,08/11/2015,281.0,1,823
Oak Street Weather Station,08/04/2015,280.7916666666667,0,964
63rd Street Weather Station,07/09/2018,280.75,0,845
Oak Street Weather Station,07/01/2017,280.6666666666667,-4,1038
63rd Street Weather Station,06/25/2018,280.5833333333333,1,934
Oak Street Weather Station,06/21/2017,280.39130434782606,-4,1001
Oak Street Weather Station,05/01/2018,280.09090909090907,-5,876
Oak Street Weather Station,07/25/2017,280.0833333333333,-4,869
63rd Street Weather Station,07/28/2017,279.875,0,821
Oak Street Weather Station,06/16/2020,279.8333333333333,-3,857
Oak Street Weather Station,06/12/2020,279.4583333333333,-2,895
63rd Street Weather Station,04/28/2018,279.25,4,828
Oak Street Weather Station,05/28/2015,279.1111111111111,1,918
63rd Street Weather Station,07/03/2020,279.0416666666667,0,821
63rd Street Weather Station,08/04/2016,278.9166666666667,0,822
63rd Street Weather Station,08/08/2017,278.7391304347826,0,839
63rd Street Weather Station,07/04/2020,278.625,0,860
63rd Street Weather Station,07/31/2016,278.5217391304348,0,837
63rd Street Weather Station,07/25/2021,278.5217391304348,0,795
Oak Street Weather Station,07/12/2016,278.38461538461536,-4,809
63rd Street Weather Station,08/03/2016,278.3333333333333,0,857
63rd Street Weather Station,07/22/2019,278.3333333333333,0,819
63rd Street Weather Station,07/30/2017,278.2608695652174,0,910
Foster Weather Station,08/11/2015,278.25,0,815
Foster Weather Station,07/20/2021,278.2173913043478,2,869
63rd Street Weather Station,07/12/2015,278.04347826086956,1,761
63rd Street Weather Station,05/24/2018,277.75,1,789
Oak Street Weather Station,05/23/2016,277.72727272727275,-2,898
Oak Street Weather Station,06/01/2021,277.5416666666667,-2,891
63rd Street Weather Station,07/25/2018,277.5,0,781
63rd Street Weather Station,07/04/2021,277.2173913043478,0,756
63rd Street Weather Station,05/24/2016,277.17391304347825,0,864
63rd Street Weather Station,06/13/2020,277.0833333333333,2,841
63rd Street Weather Station,08/01/2016,277.0,0,829
63rd Street Weather Station,07/23/2015,276.9166666666667,1,778
Oak Street Weather Station,06/08/2021,276.875,-4,840
Oak Street Weather Station,07/15/2015,276.8695652173913,1,919
63rd Street Weather Station,07/15/2015,276.6666666666667,2,879
63rd Street Weather Station,07/09/2019,276.625,0,778
Foster Weather Station,07/22/2015,276.60869565217394,0,935
Oak Street Weather Station,06/03/2021,276.3333333333333,-4,829
63rd Street Weather Station,06/02/2016,276.29411764705884,0,881
Oak Street Weather Station,06/17/2021,276.2916666666667,-5,891
Oak Street Weather Station,07/03/2020,276.2083333333333,-4,873
63rd Street Weather Station,04/07/2017,276.2083333333333,4,850
Oak Street Weather Station,07/26/2016,276.17391304347825,-4,806
63rd Street Weather Station,07/09/2021,275.95652173913044,0,818
63rd Street Weather Station,06/20/2016,275.6666666666667,0,1128
63rd Street Weather Station,06/07/2020,275.5833333333333,1,794
63rd Street Weather Station,04/19/2018,275.5416666666667,4,815
63rd Street Weather Station,04/12/2016,275.5,3,835
Foster Weather Station,07/18/2021,275.4583333333333,2,785
63rd Street Weather Station,06/12/2017,275.4166666666667,0,914
63rd Street Weather Station,04/24/2016,275.3333333333333,0,833
63rd Street Weather Station,05/22/2019,275.2083333333333,0,789
63rd Street Weather Station,07/16/2020,275.1818181818182,0,871
Oak Street Weather Station,06/18/2020,275.0,-4,843
Oak Street Weather Station,05/13/2020,274.875,-2,860
Oak Street Weather Station,07/02/2020,274.875,-3,867
63rd Street Weather Station,08/01/2019,274.8333333333333,0,788
63rd Street Weather Station,08/08/2016,274.5416666666667,0,810
Oak Street Weather Station,07/09/2016,274.2916666666667,-3,879
63rd Street Weather Station,05/11/2017,274.25,3,904
63rd Street Weather Station,05/15/2017,274.1666666666667,0,878
63rd Street Weather Station,07/10/2018,274.125,0,784
Oak Street Weather Station,07/11/2016,273.9130434782609,-4,932
Oak Street Weather Station,05/24/2018,273.7916666666667,-4,834
Foster Weather Station,08/05/2015,273.6190476190476,0,819
63rd Street Weather Station,07/06/2020,273.5833333333333,0,783
63rd Street Weather Station,06/07/2019,273.2916666666667,2,767
63rd Street Weather Station,04/15/2016,273.25,3,830
63rd Street Weather Station,08/22/2016,273.125,0,821
63rd Street Weather Station,05/22/2017,273.0833333333333,1,899
Oak Street Weather Station,05/08/2020,273.0,1,1036
63rd Street Weather Station,07/31/2017,272.95454545454544,0,964
63rd Street Weather Station,07/27/2016,272.75,0,843
Oak Street Weather Station,05/12/2017,272.69565217391306,0,861
Oak Street Weather Station,06/10/2016,272.5652173913044,-5,843
63rd Street Weather Station,07/04/2015,272.5416666666667,1,783
63rd Street Weather Station,06/25/2019,272.375,0,815
63rd Street Weather Station,05/05/2019,272.3333333333333,1,779
63rd Street Weather Station,04/25/2018,272.2916666666667,4,811
63rd Street Weather Station,07/06/2021,272.2083333333333,0,792
Oak Street Weather Station,05/29/2017,272.1304347826087,-3,899
Oak Street Weather Station,06/06/2020,272.0,-3,816
63rd Street Weather Station,08/23/2016,271.9583333333333,0,918
Oak Street Weather Station,08/19/2017,271.8888888888889,-4,802
63rd Street Weather Station,06/07/2018,271.75,2,801
Oak Street Weather Station,06/14/2016,271.6190476190476,-3,862
Oak Street Weather Station,04/23/2017,271.6190476190476,-2,858
63rd Street Weather Station,06/12/2020,271.5652173913044,0,792
63rd Street Weather Station,07/03/2017,271.5,0,860
63rd Street Weather Station,07/26/2018,271.5,0,950
Foster Weather Station,07/05/2015,271.4761904761905,1,786
Oak Street Weather Station,05/28/2018,271.125,-6,851
Oak Street Weather Station,06/25/2017,271.04545454545456,-2,1028
Oak Street Weather Station,06/02/2015,270.9,2,927
Oak Street Weather Station,05/07/2018,270.6666666666667,-3,840
Oak Street Weather Station,07/25/2021,270.60869565217394,-5,829
Foster Weather Station,08/12/2015,270.5833333333333,0,794
Oak Street Weather Station,06/09/2021,270.5833333333333,-4,817
Oak Street Weather Station,04/24/2017,270.54545454545456,-2,856
Oak Street Weather Station,06/29/2018,270.5,-6,819
63rd Street Weather Station,07/11/2018,270.4166666666667,0,745
63rd Street Weather Station,04/20/2018,270.375,4,769
Oak Street Weather Station,04/16/2016,270.17391304347825,0,834
63rd Street Weather Station,07/24/2018,270.0,0,776
63rd Street Weather Station,08/05/2015,269.95238095238096,1,767
Oak Street Weather Station,07/19/2017,269.75,-5,815
63rd Street Weather Station,08/04/2015,269.5416666666667,1,865
Oak Street Weather Station,05/25/2018,269.4583333333333,-5,852
63rd Street Weather Station,04/28/2019,269.4166666666667,4,824
63rd Street Weather Station,08/02/2015,269.2173913043478,0,822
Oak Street Weather Station,07/04/2020,269.0833333333333,-4,845
63rd Street Weather Station,07/18/2021,269.0833333333333,0,770
Oak Street Weather Station,04/28/2018,269.0416666666667,0,867
63rd Street Weather Station,06/05/2017,268.9583333333333,1,787
Oak Street Weather Station,08/03/2015,268.9166666666667,0,864
63rd Street Weather Station,04/16/2016,268.875,3,820
63rd Street Weather Station,07/03/2021,268.875,0,757
63rd Street Weather Station,06/17/2018,268.8636363636364,0,904
Oak Street Weather Station,08/01/2016,268.7916666666667,-3,821
63rd Street Weather Station,06/26/2017,268.7391304347826,1,1011
63rd Street Weather Station,04/15/2017,268.4347826086956,0,823
Oak Street Weather Station,05/07/2020,268.39130434782606,0,907
63rd Street Weather Station,07/02/2021,268.375,1,810
Foster Weather Station,07/12/2015,268.2173913043478,0,833
63rd Street Weather Station,07/26/2020,268.1818181818182,0,762
63rd Street Weather Station,08/12/2015,268.1666666666667,1,812
63rd Street Weather Station,06/27/2019,268.1666666666667,0,808
Oak Street Weather Station,05/29/2021,268.1666666666667,0,795
Foster Weather Station,08/08/2021,268.14285714285717,2,762
63rd Street Weather Station,06/11/2020,268.125,0,927
Foster Weather Station,07/17/2015,268.0833333333333,0,838
63rd Street Weather Station,06/28/2015,268.04347826086956,1,908
Oak Street Weather Station,08/04/2016,268.0,-5,808
Oak Street Weather Station,06/11/2021,267.9166666666667,-5,825
63rd Street Weather Station,08/06/2015,267.8181818181818,1,828
63rd Street Weather Station,07/23/2018,267.75,0,1039
Oak Street Weather Station,07/01/2015,267.55,2,844
63rd Street Weather Station,07/31/2021,267.4583333333333,0,835
Oak Street Weather Station,05/06/2020,267.2916666666667,0,878
63rd Street Weather Station,05/04/2019,267.125,3,768
Oak Street Weather Station,07/31/2019,266.875,-4,848
Oak Street Weather Station,06/08/2016,266.7826086956522,0,952
63rd Street Weather Station,09/02/2015,266.73333333333335,0,799
Oak Street Weather Station,07/12/2019,266.4166666666667,-5,838
Oak Street Weather Station,08/12/2020,266.39130434782606,-4,851
Oak Street Weather Station,05/31/2017,266.375,-3,934
Foster Weather Station,07/02/2015,266.3,0,749
63rd Street Weather Station,07/27/2015,266.25,1,765
Oak Street Weather Station,05/16/2017,266.2083333333333,-5,860
Oak Street Weather Station,07/22/2015,266.1363636363636,0,897
Oak Street Weather Station,09/02/2016,266.1363636363636,-3,825
Oak Street Weather Station,06/07/2018,266.125,-2,849
63rd Street Weather Station,08/03/2021,266.0833333333333,0,766
63rd Street Weather Station,07/01/2020,266.04545454545456,0,806
Oak Street Weather Station,08/06/2016,266.04347826086956,-3,834
63rd Street Weather Station,05/13/2020,266.0,1,857
63rd Street Weather Station,09/03/2017,265.95652173913044,0,907
63rd Street Weather Station,08/03/2019,265.9166666666667,0,768
63rd Street Weather Station,05/07/2018,265.7916666666667,1,761
63rd Street Weather Station,06/26/2019,265.7916666666667,0,852
63rd Street Weather Station,04/22/2017,265.6666666666667,3,965
63rd Street Weather Station,04/30/2018,265.625,0,811
Oak Street Weather Station,05/22/2017,265.5,-2,891
63rd Street Weather Station,08/02/2019,265.4166666666667,0,771
63rd Street Weather Station,06/03/2017,265.1666666666667,0,828
63rd Street Weather Station,08/03/2018,265.1666666666667,0,773
63rd Street Weather Station,07/06/2019,265.125,0,840
Oak Street Weather Station,06/10/2019,264.875,-3,927
63rd Street Weather Station,06/16/2018,264.77272727272725,0,785
Oak Street Weather Station,06/19/2016,264.7142857142857,-4,990
Oak Street Weather Station,06/11/2020,264.7083333333333,-4,872
Foster Weather Station,07/28/2015,264.6666666666667,0,810
Oak Street Weather Station,07/12/2015,264.6190476190476,0,874
63rd Street Weather Station,07/04/2017,264.5416666666667,0,869
Oak Street Weather Station,06/18/2018,264.5416666666667,-6,871
Oak Street Weather Station,06/07/2017,264.5238095238095,-2,907
63rd Street Weather Station,08/21/2017,264.4117647058824,0,708
Foster Weather Station,08/06/2015,264.40909090909093,0,808
Foster Weather Station,07/25/2021,264.0869565217391,2,805
Oak Street Weather Station,06/29/2019,264.0833333333333,-4,827
63rd Street Weather Station,07/20/2021,264.04347826086956,0,756
Oak Street Weather Station,07/16/2016,264.0416666666667,-2,861
63rd Street Weather Station,07/10/2016,264.0,0,859
Oak Street Weather Station,09/03/2017,263.94736842105266,-4,790
Oak Street Weather Station,04/19/2018,263.9166666666667,0,860
63rd Street Weather Station,08/12/2020,263.9166666666667,0,778
63rd Street Weather Station,04/14/2016,263.8333333333333,3,814
63rd Street Weather Station,09/01/2015,263.75,0,745
Oak Street Weather Station,04/25/2018,263.7083333333333,0,862
63rd Street Weather Station,04/17/2017,263.60869565217394,2,851
63rd Street Weather Station,06/08/2021,263.5833333333333,0,833
Oak Street Weather Station,04/15/2016,263.4583333333333,1,829
Oak Street Weather Station,04/30/2018,263.4583333333333,-3,842
Oak Street Weather Station,04/18/2020,263.3478260869565,0,850
Foster Weather Station,09/01/2015,263.3,0,814
Oak Street Weather Station,04/20/2020,263.2916666666667,0,848
63rd Street Weather Station,04/06/2017,263.25,4,965
Foster Weather Station,07/31/2015,263.25,0,832
